h_year,h_month,h_day,with_year,without_year
5800,10,1,א׳ בטבת ת״ת,א׳ בטבת
5800,10,15,ט״ו בטבת ת״ת,ט״ו בטבת
5800,10,16,ט״ז בטבת ת״ת,ט״ז בטבת
5800,10,29,כ״ט בטבת ת״ת,כ״ט בטבת
5800,11,1,א׳ בשבט ת״ת,א׳ בשבט
5800,11,15,ט״ו בשבט ת״ת,ט״ו בשבט
5800,11,16,ט״ז בשבט ת״ת,ט״ז בשבט
5800,11,30,ל׳ בשבט ת״ת,ל׳ בשבט
5800,12,1,א׳ באדר ת״ת,א׳ באדר
5800,12,15,ט״ו באדר ת״ת,ט״ו באדר
5800,12,16,ט״ז באדר ת״ת,ט״ז באדר
5800,12,29,כ״ט באדר ת״ת,כ״ט באדר
