h_year,src_month,policy,resolved
5808,1,adar_ii,1
5808,5,adar_i,5
5808,5,adar_ii,5
5808,12,adar_i,12
5808,12,adar_ii,12
5808,13,adar_i,12
5808,13,adar_ii,12
5809,1,adar_i,1
5809,1,adar_ii,1
5809,5,adar_i,5
5809,5,adar_ii,5
5809,12,adar_i,12
5809,12,adar_ii,13
5809,13,adar_i,13
5809,13,adar_ii,13
5810,1,adar_i,1
5810,1,adar_ii,1
5810,5,adar_i,5
5810,5,adar_ii,5
5810,12,adar_i,12
5810,12,adar_ii,12
5810,13,adar_i,12
5810,13,adar_ii,12
5811,1,adar_i,1
5811,1,adar_ii,1
5811,5,adar_i,5
5811,5,adar_ii,5
5811,12,adar_i,12
5811,12,adar_ii,12
5811,13,adar_i,12
5811,13,adar_ii,12
5812,1,adar_i,1
5812,1,adar_ii,1
5812,5,adar_i,5
5812,5,adar_ii,5
5812,12,adar_i,12
5812,12,adar_ii,13
5812,13,adar_i,13
5812,13,adar_ii,13
5813,1,adar_i,1
5813,1,adar_ii,1
5813,5,adar_i,5
5813,5,adar_ii,5
5813,12,adar_i,12
5813,12,adar_ii,12
5813,13,adar_i,12
5813,13,adar_ii,12
5814,1,adar_i,1
5814,1,adar_ii,1
5814,5,adar_i,5
5814,5,adar_ii,5
5814,12,adar_i,12
5814,12,adar_ii,13
5814,13,adar_i,13
5814,13,adar_ii,13
5815,1,adar_i,1
5815,1,adar_ii,1
5815,5,adar_i,5
5815,5,adar_ii,5
5815,12,adar_i,12
5815,12,adar_ii,12
5815,13,adar_i,12
5815,13,adar_ii,12
5816,1,adar_i,1
5816,1,adar_ii,1
5816,5,adar_i,5
5816,5,adar_ii,5
5816,12,adar_i,12
5816,12,adar_ii,12
5816,13,adar_i,12
5816,13,adar_ii,12
5817,1,adar_i,1
5817,1,adar_ii,1
5817,5,adar_i,5
5817,5,adar_ii,5
5817,12,adar_i,12
5817,12,adar_ii,13
5817,13,adar_i,13
5817,13,adar_ii,13
5818,1,adar_i,1
5818,1,adar_ii,1
5818,5,adar_i,5
5818,5,adar_ii,5
5818,12,adar_i,12
5818,12,adar_ii,12
5818,13,adar_i,12
5818,13,adar_ii,12
5819,1,adar_i,1
5819,1,adar_ii,1
5819,5,adar_i,5
5819,5,adar_ii,5
5819,12,adar_i,12
5819,12,adar_ii,12
5819,13,adar_i,12
5819,13,adar_ii,12
