today,month,day,feb29_policy,result
2022-01-01,2,13,mar01,2022-02-13
2022-01-01,2,14,feb28,2022-02-14
2022-01-01,2,14,mar01,2022-02-14
2022-01-01,2,15,feb28,2022-02-15
2022-01-01,2,15,mar01,2022-02-15
2022-01-01,2,16,feb28,2022-02-16
2022-01-01,2,16,mar01,2022-02-16
2022-01-01,2,17,feb28,2022-02-17
2022-01-01,2,17,mar01,2022-02-17
2022-01-01,2,18,feb28,2022-02-18
2022-01-01,2,18,mar01,2022-02-18
2022-01-01,2,19,feb28,2022-02-19
2022-01-01,2,19,mar01,2022-02-19
2022-01-01,2,20,feb28,2022-02-20
2022-01-01,2,20,mar01,2022-02-20
2022-01-01,2,21,feb28,2022-02-21
2022-01-01,2,21,mar01,2022-02-21
2022-01-01,2,22,feb28,2022-02-22
2022-01-01,2,22,mar01,2022-02-22
2022-01-01,2,23,feb28,2022-02-23
2022-01-01,2,23,mar01,2022-02-23
2022-01-01,2,24,feb28,2022-02-24
2022-01-01,2,24,mar01,2022-02-24
2022-01-01,2,25,feb28,2022-02-25
2022-01-01,2,25,mar01,2022-02-25
2022-01-01,2,26,feb28,2022-02-26
2022-01-01,2,26,mar01,2022-02-26
2022-01-01,2,27,feb28,2022-02-27
2022-01-01,2,27,mar01,2022-02-27
2022-01-01,2,28,feb28,2022-02-28
2022-01-01,2,28,mar01,2022-02-28
2022-01-01,2,29,feb28,2022-02-28
2022-01-01,2,29,mar01,2022-03-01
2022-01-01,3,1,feb28,2022-03-01
2022-01-01,3,1,mar01,2022-03-01
2022-01-01,3,2,feb28,2022-03-02
2022-01-01,3,2,mar01,2022-03-02
2022-01-01,3,3,feb28,2022-03-03
2022-01-01,3,3,mar01,2022-03-03
2022-01-01,3,4,feb28,2022-03-04
2022-01-01,3,4,mar01,2022-03-04
2022-01-01,3,5,feb28,2022-03-05
2022-01-01,3,5,mar01,2022-03-05
2022-01-01,3,6,feb28,2022-03-06
2022-01-01,3,6,mar01,2022-03-06
2022-01-01,3,7,feb28,2022-03-07
2022-01-01,3,7,mar01,2022-03-07
2022-01-01,3,8,feb28,2022-03-08
2022-01-01,3,8,mar01,2022-03-08
2022-01-01,3,9,feb28,2022-03-09
2022-01-01,3,9,mar01,2022-03-09
2022-01-01,3,10,feb28,2022-03-10
2022-01-01,3,10,mar01,2022-03-10
2022-01-01,3,11,feb28,2022-03-11
2022-01-01,3,11,mar01,2022-03-11
2022-01-01,3,12,feb28,2022-03-12
2022-01-01,3,12,mar01,2022-03-12
2022-01-01,3,13,feb28,2022-03-13
2022-01-01,3,13,mar01,2022-03-13
2022-01-01,3,14,feb28,2022-03-14
2022-01-01,3,14,mar01,2022-03-14
2022-01-01,3,15,feb28,2022-03-15
2022-01-01,3,15,mar01,2022-03-15
2022-01-01,3,16,feb28,2022-03-16
2022-01-01,3,16,mar01,2022-03-16
2022-01-01,3,17,feb28,2022-03-17
2022-01-01,3,17,mar01,2022-03-17
2022-01-01,3,18,feb28,2022-03-18
2022-01-01,3,18,mar01,2022-03-18
2022-01-01,3,19,feb28,2022-03-19
2022-01-01,3,19,mar01,2022-03-19
2022-01-01,3,20,feb28,2022-03-20
2022-01-01,3,20,mar01,2022-03-20
2022-01-01,3,21,feb28,2022-03-21
2022-01-01,3,21,mar01,2022-03-21
2022-01-01,3,22,feb28,2022-03-22
2022-01-01,3,22,mar01,2022-03-22
2022-01-01,3,23,feb28,2022-03-23
2022-01-01,3,23,mar01,2022-03-23
2022-01-01,3,24,feb28,2022-03-24
2022-01-01,3,24,mar01,2022-03-24
2022-01-01,3,25,feb28,2022-03-25
2022-01-01,3,25,mar01,2022-03-25
2022-01-01,3,26,feb28,2022-03-26
2022-01-01,3,26,mar01,2022-03-26
2022-01-01,3,27,feb28,2022-03-27
2022-01-01,3,27,mar01,2022-03-27
2022-01-01,3,28,feb28,2022-03-28
2022-01-01,3,28,mar01,2022-03-28
2022-01-01,3,29,feb28,2022-03-29
2022-01-01,3,29,mar01,2022-03-29
2022-01-01,3,30,feb28,2022-03-30
2022-01-01,3,30,mar01,2022-03-30
2022-01-01,3,31,feb28,2022-03-31
2022-01-01,3,31,mar01,2022-03-31
2022-01-01,4,1,feb28,2022-04-01
2022-01-01,4,1,mar01,2022-04-01
2022-01-01,4,2,feb28,2022-04-02
2022-01-01,4,2,mar01,2022-04-02
2022-01-01,4,3,feb28,2022-04-03
2022-01-01,4,3,mar01,2022-04-03
2022-01-01,4,4,feb28,2022-04-04
2022-01-01,4,4,mar01,2022-04-04
2022-01-01,4,5,feb28,2022-04-05
2022-01-01,4,5,mar01,2022-04-05
2022-01-01,4,6,feb28,2022-04-06
2022-01-01,4,6,mar01,2022-04-06
2022-01-01,4,7,feb28,2022-04-07
2022-01-01,4,7,mar01,2022-04-07
2022-01-01,4,8,feb28,2022-04-08
2022-01-01,4,8,mar01,2022-04-08
2022-01-01,4,9,feb28,2022-04-09
2022-01-01,4,9,mar01,2022-04-09
2022-01-01,4,10,feb28,2022-04-10
2022-01-01,4,10,mar01,2022-04-10
2022-01-01,4,11,feb28,2022-04-11
2022-01-01,4,11,mar01,2022-04-11
2022-01-01,4,12,feb28,2022-04-12
2022-01-01,4,12,mar01,2022-04-12
2022-01-01,4,13,feb28,2022-04-13
2022-01-01,4,13,mar01,2022-04-13
2022-01-01,4,14,feb28,2022-04-14
2022-01-01,4,14,mar01,2022-04-14
2022-01-01,4,15,feb28,2022-04-15
2022-01-01,4,15,mar01,2022-04-15
2022-01-01,4,16,feb28,2022-04-16
2022-01-01,4,16,mar01,2022-04-16
2022-01-01,4,17,feb28,2022-04-17
2022-01-01,4,17,mar01,2022-04-17
2022-01-01,4,18,feb28,2022-04-18
2022-01-01,4,18,mar01,2022-04-18
2022-01-01,4,19,feb28,2022-04-19
2022-01-01,4,19,mar01,2022-04-19
2022-01-01,4,20,feb28,2022-04-20
2022-01-01,4,20,mar01,2022-04-20
2022-01-01,4,21,feb28,2022-04-21
2022-01-01,4,21,mar01,2022-04-21
2022-01-01,4,22,feb28,2022-04-22
2022-01-01,4,22,mar01,2022-04-22
2022-01-01,4,23,feb28,2022-04-23
2022-01-01,4,23,mar01,2022-04-23
2022-01-01,4,24,feb28,2022-04-24
2022-01-01,4,24,mar01,2022-04-24
2022-01-01,4,25,feb28,2022-04-25
2022-01-01,4,25,mar01,2022-04-25
2022-01-01,4,26,feb28,2022-04-26
2022-01-01,4,26,mar01,2022-04-26
2022-01-01,4,27,feb28,2022-04-27
2022-01-01,4,27,mar01,2022-04-27
2022-01-01,4,28,feb28,2022-04-28
2022-01-01,4,28,mar01,2022-04-28
2022-01-01,4,29,feb28,2022-04-29
2022-01-01,4,29,mar01,2022-04-29
2022-01-01,4,30,feb28,2022-04-30
2022-01-01,4,30,mar01,2022-04-30
2022-01-01,5,1,feb28,2022-05-01
2022-01-01,5,1,mar01,2022-05-01
2022-01-01,5,2,feb28,2022-05-02
2022-01-01,5,2,mar01,2022-05-02
2022-01-01,5,3,feb28,2022-05-03
2022-01-01,5,3,mar01,2022-05-03
2022-01-01,5,4,feb28,2022-05-04
2022-01-01,5,4,mar01,2022-05-04
2022-01-01,5,5,feb28,2022-05-05
2022-01-01,5,5,mar01,2022-05-05
2022-01-01,5,6,feb28,2022-05-06
2022-01-01,5,6,mar01,2022-05-06
2022-01-01,5,7,feb28,2022-05-07
2022-01-01,5,7,mar01,2022-05-07
2022-01-01,5,8,feb28,2022-05-08
2022-01-01,5,8,mar01,2022-05-08
2022-01-01,5,9,feb28,2022-05-09
2022-01-01,5,9,mar01,2022-05-09
2022-01-01,5,10,feb28,2022-05-10
2022-01-01,5,10,mar01,2022-05-10
2022-01-01,5,11,feb28,2022-05-11
2022-01-01,5,11,mar01,2022-05-11
2022-01-01,5,12,feb28,2022-05-12
2022-01-01,5,12,mar01,2022-05-12
2022-01-01,5,13,feb28,2022-05-13
2022-01-01,5,13,mar01,2022-05-13
2022-01-01,5,14,feb28,2022-05-14
2022-01-01,5,14,mar01,2022-05-14
2022-01-01,5,15,feb28,2022-05-15
2022-01-01,5,15,mar01,2022-05-15
2022-01-01,5,16,feb28,2022-05-16
2022-01-01,5,16,mar01,2022-05-16
2022-01-01,5,17,feb28,2022-05-17
2022-01-01,5,17,mar01,2022-05-17
2022-01-01,5,18,feb28,2022-05-18
2022-01-01,5,18,mar01,2022-05-18
2022-01-01,5,19,feb28,2022-05-19
2022-01-01,5,19,mar01,2022-05-19
2022-01-01,5,20,feb28,2022-05-20
2022-01-01,5,20,mar01,2022-05-20
2022-01-01,5,21,feb28,2022-05-21
2022-01-01,5,21,mar01,2022-05-21
2022-01-01,5,22,feb28,2022-05-22
2022-01-01,5,22,mar01,2022-05-22
2022-01-01,5,23,feb28,2022-05-23
2022-01-01,5,23,mar01,2022-05-23
2022-01-01,5,24,feb28,2022-05-24
2022-01-01,5,24,mar01,2022-05-24
2022-01-01,5,25,feb28,2022-05-25
2022-01-01,5,25,mar01,2022-05-25
2022-01-01,5,26,feb28,2022-05-26
2022-01-01,5,26,mar01,2022-05-26
2022-01-01,5,27,feb28,2022-05-27
2022-01-01,5,27,mar01,2022-05-27
2022-01-01,5,28,feb28,2022-05-28
2022-01-01,5,28,mar01,2022-05-28
2022-01-01,5,29,feb28,2022-05-29
2022-01-01,5,29,mar01,2022-05-29
2022-01-01,5,30,feb28,2022-05-30
2022-01-01,5,30,mar01,2022-05-30
2022-01-01,5,31,feb28,2022-05-31
2022-01-01,5,31,mar01,2022-05-31
2022-01-01,6,1,feb28,2022-06-01
2022-01-01,6,1,mar01,2022-06-01
2022-01-01,6,2,feb28,2022-06-02
2022-01-01,6,2,mar01,2022-06-02
2022-01-01,6,3,feb28,2022-06-03
2022-01-01,6,3,mar01,2022-06-03
2022-01-01,6,4,feb28,2022-06-04
2022-01-01,6,4,mar01,2022-06-04
2022-01-01,6,5,feb28,2022-06-05
2022-01-01,6,5,mar01,2022-06-05
2022-01-01,6,6,feb28,2022-06-06
2022-01-01,6,6,mar01,2022-06-06
2022-01-01,6,7,feb28,2022-06-07
2022-01-01,6,7,mar01,2022-06-07
2022-01-01,6,8,feb28,2022-06-08
2022-01-01,6,8,mar01,2022-06-08
2022-01-01,6,9,feb28,2022-06-09
2022-01-01,6,9,mar01,2022-06-09
2022-01-01,6,10,feb28,2022-06-10
2022-01-01,6,10,mar01,2022-06-10
2022-01-01,6,11,feb28,2022-06-11
2022-01-01,6,11,mar01,2022-06-11
2022-01-01,6,12,feb28,2022-06-12
2022-01-01,6,12,mar01,2022-06-12
2022-01-01,6,13,feb28,2022-06-13
2022-01-01,6,13,mar01,2022-06-13
2022-01-01,6,14,feb28,2022-06-14
2022-01-01,6,14,mar01,2022-06-14
2022-01-01,6,15,feb28,2022-06-15
2022-01-01,6,15,mar01,2022-06-15
2022-01-01,6,16,feb28,2022-06-16
2022-01-01,6,16,mar01,2022-06-16
2022-01-01,6,17,feb28,2022-06-17
2022-01-01,6,17,mar01,2022-06-17
2022-01-01,6,18,feb28,2022-06-18
2022-01-01,6,18,mar01,2022-06-18
2022-01-01,6,19,feb28,2022-06-19
2022-01-01,6,19,mar01,2022-06-19
2022-01-01,6,20,feb28,2022-06-20
2022-01-01,6,20,mar01,2022-06-20
2022-01-01,6,21,feb28,2022-06-21
2022-01-01,6,21,mar01,2022-06-21
2022-01-01,6,22,feb28,2022-06-22
2022-01-01,6,22,mar01,2022-06-22
2022-01-01,6,23,feb28,2022-06-23
2022-01-01,6,23,mar01,2022-06-23
2022-01-01,6,24,feb28,2022-06-24
2022-01-01,6,24,mar01,2022-06-24
2022-01-01,6,25,feb28,2022-06-25
2022-01-01,6,25,mar01,2022-06-25
2022-01-01,6,26,feb28,2022-06-26
2022-01-01,6,26,mar01,2022-06-26
2022-01-01,6,27,feb28,2022-06-27
2022-01-01,6,27,mar01,2022-06-27
2022-01-01,6,28,feb28,2022-06-28
2022-01-01,6,28,mar01,2022-06-28
2022-01-01,6,29,feb28,2022-06-29
2022-01-01,6,29,mar01,2022-06-29
2022-01-01,6,30,feb28,2022-06-30
2022-01-01,6,30,mar01,2022-06-30
2022-01-01,7,1,feb28,2022-07-01
2022-01-01,7,1,mar01,2022-07-01
2022-01-01,7,2,feb28,2022-07-02
2022-01-01,7,2,mar01,2022-07-02
2022-01-01,7,3,feb28,2022-07-03
2022-01-01,7,3,mar01,2022-07-03
2022-01-01,7,4,feb28,2022-07-04
2022-01-01,7,4,mar01,2022-07-04
2022-01-01,7,5,feb28,2022-07-05
2022-01-01,7,5,mar01,2022-07-05
2022-01-01,7,6,feb28,2022-07-06
2022-01-01,7,6,mar01,2022-07-06
2022-01-01,7,7,feb28,2022-07-07
2022-01-01,7,7,mar01,2022-07-07
2022-01-01,7,8,feb28,2022-07-08
2022-01-01,7,8,mar01,2022-07-08
2022-01-01,7,9,feb28,2022-07-09
2022-01-01,7,9,mar01,2022-07-09
2022-01-01,7,10,feb28,2022-07-10
2022-01-01,7,10,mar01,2022-07-10
2022-01-01,7,11,feb28,2022-07-11
2022-01-01,7,11,mar01,2022-07-11
2022-01-01,7,12,feb28,2022-07-12
2022-01-01,7,12,mar01,2022-07-12
2022-01-01,7,13,feb28,2022-07-13
2022-01-01,7,13,mar01,2022-07-13
2022-01-01,7,14,feb28,2022-07-14
2022-01-01,7,14,mar01,2022-07-14
2022-01-01,7,15,feb28,2022-07-15
2022-01-01,7,15,mar01,2022-07-15
2022-01-01,7,16,feb28,2022-07-16
2022-01-01,7,16,mar01,2022-07-16
2022-01-01,7,17,feb28,2022-07-17
2022-01-01,7,17,mar01,2022-07-17
2022-01-01,7,18,feb28,2022-07-18
2022-01-01,7,18,mar01,2022-07-18
2022-01-01,7,19,feb28,2022-07-19
2022-01-01,7,19,mar01,2022-07-19
2022-01-01,7,20,feb28,2022-07-20
2022-01-01,7,20,mar01,2022-07-20
2022-01-01,7,21,feb28,2022-07-21
2022-01-01,7,21,mar01,2022-07-21
2022-01-01,7,22,feb28,2022-07-22
2022-01-01,7,22,mar01,2022-07-22
2022-01-01,7,23,feb28,2022-07-23
2022-01-01,7,23,mar01,2022-07-23
2022-01-01,7,24,feb28,2022-07-24
2022-01-01,7,24,mar01,2022-07-24
2022-01-01,7,25,feb28,2022-07-25
2022-01-01,7,25,mar01,2022-07-25
2022-01-01,7,26,feb28,2022-07-26
2022-01-01,7,26,mar01,2022-07-26
2022-01-01,7,27,feb28,2022-07-27
2022-01-01,7,27,mar01,2022-07-27
2022-01-01,7,28,feb28,2022-07-28
2022-01-01,7,28,mar01,2022-07-28
2022-01-01,7,29,feb28,2022-07-29
2022-01-01,7,29,mar01,2022-07-29
2022-01-01,7,30,feb28,2022-07-30
2022-01-01,7,30,mar01,2022-07-30
2022-01-01,7,31,feb28,2022-07-31
2022-01-01,7,31,mar01,2022-07-31
2022-01-01,8,1,feb28,2022-08-01
2022-01-01,8,1,mar01,2022-08-01
2022-01-01,8,2,feb28,2022-08-02
2022-01-01,8,2,mar01,2022-08-02
2022-01-01,8,3,feb28,2022-08-03
2022-01-01,8,3,mar01,2022-08-03
2022-01-01,8,4,feb28,2022-08-04
2022-01-01,8,4,mar01,2022-08-04
2022-01-01,8,5,feb28,2022-08-05
2022-01-01,8,5,mar01,2022-08-05
2022-01-01,8,6,feb28,2022-08-06
2022-01-01,8,6,mar01,2022-08-06
2022-01-01,8,7,feb28,2022-08-07
2022-01-01,8,7,mar01,2022-08-07
2022-01-01,8,8,feb28,2022-08-08
2022-01-01,8,8,mar01,2022-08-08
2022-01-01,8,9,feb28,2022-08-09
2022-01-01,8,9,mar01,2022-08-09
2022-01-01,8,10,feb28,2022-08-10
2022-01-01,8,10,mar01,2022-08-10
2022-01-01,8,11,feb28,2022-08-11
2022-01-01,8,11,mar01,2022-08-11
2022-01-01,8,12,feb28,2022-08-12
2022-01-01,8,12,mar01,2022-08-12
2022-01-01,8,13,feb28,2022-08-13
2022-01-01,8,13,mar01,2022-08-13
2022-01-01,8,14,feb28,2022-08-14
2022-01-01,8,14,mar01,2022-08-14
2022-01-01,8,15,feb28,2022-08-15
2022-01-01,8,15,mar01,2022-08-15
2022-01-01,8,16,feb28,2022-08-16
2022-01-01,8,16,mar01,2022-08-16
2022-01-01,8,17,feb28,2022-08-17
2022-01-01,8,17,mar01,2022-08-17
2022-01-01,8,18,feb28,2022-08-18
2022-01-01,8,18,mar01,2022-08-18
2022-01-01,8,19,feb28,2022-08-19
2022-01-01,8,19,mar01,2022-08-19
2022-01-01,8,20,feb28,2022-08-20
2022-01-01,8,20,mar01,2022-08-20
2022-01-01,8,21,feb28,2022-08-21
2022-01-01,8,21,mar01,2022-08-21
2022-01-01,8,22,feb28,2022-08-22
2022-01-01,8,22,mar01,2022-08-22
2022-01-01,8,23,feb28,2022-08-23
2022-01-01,8,23,mar01,2022-08-23
2022-01-01,8,24,feb28,2022-08-24
2022-01-01,8,24,mar01,2022-08-24
2022-01-01,8,25,feb28,2022-08-25
2022-01-01,8,25,mar01,2022-08-25
2022-01-01,8,26,feb28,2022-08-26
2022-01-01,8,26,mar01,2022-08-26
2022-01-01,8,27,feb28,2022-08-27
2022-01-01,8,27,mar01,2022-08-27
2022-01-01,8,28,feb28,2022-08-28
2022-01-01,8,28,mar01,2022-08-28
2022-01-01,8,29,feb28,2022-08-29
2022-01-01,8,29,mar01,2022-08-29
2022-01-01,8,30,feb28,2022-08-30
2022-01-01,8,30,mar01,2022-08-30
2022-01-01,8,31,feb28,2022-08-31
2022-01-01,8,31,mar01,2022-08-31
2022-01-01,9,1,feb28,2022-09-01
2022-01-01,9,1,mar01,2022-09-01
2022-01-01,9,2,feb28,2022-09-02
2022-01-01,9,2,mar01,2022-09-02
2022-01-01,9,3,feb28,2022-09-03
2022-01-01,9,3,mar01,2022-09-03
2022-01-01,9,4,feb28,2022-09-04
2022-01-01,9,4,mar01,2022-09-04
2022-01-01,9,5,feb28,2022-09-05
2022-01-01,9,5,mar01,2022-09-05
2022-01-01,9,6,feb28,2022-09-06
2022-01-01,9,6,mar01,2022-09-06
2022-01-01,9,7,feb28,2022-09-07
2022-01-01,9,7,mar01,2022-09-07
2022-01-01,9,8,feb28,2022-09-08
2022-01-01,9,8,mar01,2022-09-08
2022-01-01,9,9,feb28,2022-09-09
2022-01-01,9,9,mar01,2022-09-09
2022-01-01,9,10,feb28,2022-09-10
2022-01-01,9,10,mar01,2022-09-10
2022-01-01,9,11,feb28,2022-09-11
2022-01-01,9,11,mar01,2022-09-11
2022-01-01,9,12,feb28,2022-09-12
2022-01-01,9,12,mar01,2022-09-12
2022-01-01,9,13,feb28,2022-09-13
2022-01-01,9,13,mar01,2022-09-13
2022-01-01,9,14,feb28,2022-09-14
2022-01-01,9,14,mar01,2022-09-14
2022-01-01,9,15,feb28,2022-09-15
2022-01-01,9,15,mar01,2022-09-15
2022-01-01,9,16,feb28,2022-09-16
2022-01-01,9,16,mar01,2022-09-16
2022-01-01,9,17,feb28,2022-09-17
2022-01-01,9,17,mar01,2022-09-17
2022-01-01,9,18,feb28,2022-09-18
2022-01-01,9,18,mar01,2022-09-18
2022-01-01,9,19,feb28,2022-09-19
2022-01-01,9,19,mar01,2022-09-19
2022-01-01,9,20,feb28,2022-09-20
2022-01-01,9,20,mar01,2022-09-20
2022-01-01,9,21,feb28,2022-09-21
2022-01-01,9,21,mar01,2022-09-21
2022-01-01,9,22,feb28,2022-09-22
2022-01-01,9,22,mar01,2022-09-22
2022-01-01,9,23,feb28,2022-09-23
2022-01-01,9,23,mar01,2022-09-23
2022-01-01,9,24,feb28,2022-09-24
2022-01-01,9,24,mar01,2022-09-24
2022-01-01,9,25,feb28,2022-09-25
2022-01-01,9,25,mar01,2022-09-25
2022-01-01,9,26,feb28,2022-09-26
2022-01-01,9,26,mar01,2022-09-26
2022-01-01,9,27,feb28,2022-09-27
2022-01-01,9,27,mar01,2022-09-27
2022-01-01,9,28,feb28,2022-09-28
2022-01-01,9,28,mar01,2022-09-28
2022-01-01,9,29,feb28,2022-09-29
2022-01-01,9,29,mar01,2022-09-29
2022-01-01,9,30,feb28,2022-09-30
2022-01-01,9,30,mar01,2022-09-30
2022-01-01,10,1,feb28,2022-10-01
2022-01-01,10,1,mar01,2022-10-01
2022-01-01,10,2,feb28,2022-10-02
2022-01-01,10,2,mar01,2022-10-02
2022-01-01,10,3,feb28,2022-10-03
2022-01-01,10,3,mar01,2022-10-03
2022-01-01,10,4,feb28,2022-10-04
2022-01-01,10,4,mar01,2022-10-04
2022-01-01,10,5,feb28,2022-10-05
2022-01-01,10,5,mar01,2022-10-05
2022-01-01,10,6,feb28,2022-10-06
2022-01-01,10,6,mar01,2022-10-06
2022-01-01,10,7,feb28,2022-10-07
2022-01-01,10,7,mar01,2022-10-07
2022-01-01,10,8,feb28,2022-10-08
2022-01-01,10,8,mar01,2022-10-08
2022-01-01,10,9,feb28,2022-10-09
2022-01-01,10,9,mar01,2022-10-09
2022-01-01,10,10,feb28,2022-10-10
2022-01-01,10,10,mar01,2022-10-10
2022-01-01,10,11,feb28,2022-10-11
2022-01-01,10,11,mar01,2022-10-11
2022-01-01,10,12,feb28,2022-10-12
2022-01-01,10,12,mar01,2022-10-12
2022-01-01,10,13,feb28,2022-10-13
2022-01-01,10,13,mar01,2022-10-13
2022-01-01,10,14,feb28,2022-10-14
2022-01-01,10,14,mar01,2022-10-14
2022-01-01,10,15,feb28,2022-10-15
2022-01-01,10,15,mar01,2022-10-15
2022-01-01,10,16,feb28,2022-10-16
2022-01-01,10,16,mar01,2022-10-16
2022-01-01,10,17,feb28,2022-10-17
2022-01-01,10,17,mar01,2022-10-17
2022-01-01,10,18,feb28,2022-10-18
2022-01-01,10,18,mar01,2022-10-18
2022-01-01,10,19,feb28,2022-10-19
2022-01-01,10,19,mar01,2022-10-19
2022-01-01,10,20,feb28,2022-10-20
2022-01-01,10,20,mar01,2022-10-20
2022-01-01,10,21,feb28,2022-10-21
2022-01-01,10,21,mar01,2022-10-21
2022-01-01,10,22,feb28,2022-10-22
2022-01-01,10,22,mar01,2022-10-22
2022-01-01,10,23,feb28,2022-10-23
2022-01-01,10,23,mar01,2022-10-23
2022-01-01,10,24,feb28,2022-10-24
2022-01-01,10,24,mar01,2022-10-24
2022-01-01,10,25,feb28,2022-10-25
2022-01-01,10,25,mar01,2022-10-25
2022-01-01,10,26,feb28,2022-10-26
2022-01-01,10,26,mar01,2022-10-26
2022-01-01,10,27,feb28,2022-10-27
2022-01-01,10,27,mar01,2022-10-27
2022-01-01,10,28,feb28,2022-10-28
2022-01-01,10,28,mar01,2022-10-28
2022-01-01,10,29,feb28,2022-10-29
2022-01-01,10,29,mar01,2022-10-29
2022-01-01,10,30,feb28,2022-10-30
2022-01-01,10,30,mar01,2022-10-30
2022-01-01,10,31,feb28,2022-10-31
2022-01-01,10,31,mar01,2022-10-31
2022-01-01,11,1,feb28,2022-11-01
2022-01-01,11,1,mar01,2022-11-01
2022-01-01,11,2,feb28,2022-11-02
2022-01-01,11,2,mar01,2022-11-02
2022-01-01,11,3,feb28,2022-11-03
2022-01-01,11,3,mar01,2022-11-03
2022-01-01,11,4,feb28,2022-11-04
2022-01-01,11,4,mar01,2022-11-04
2022-01-01,11,5,feb28,2022-11-05
2022-01-01,11,5,mar01,2022-11-05
2022-01-01,11,6,feb28,2022-11-06
2022-01-01,11,6,mar01,2022-11-06
2022-01-01,11,7,feb28,2022-11-07
2022-01-01,11,7,mar01,2022-11-07
2022-01-01,11,8,feb28,2022-11-08
2022-01-01,11,8,mar01,2022-11-08
2022-01-01,11,9,feb28,2022-11-09
2022-01-01,11,9,mar01,2022-11-09
2022-01-01,11,10,feb28,2022-11-10
2022-01-01,11,10,mar01,2022-11-10
2022-01-01,11,11,feb28,2022-11-11
2022-01-01,11,11,mar01,2022-11-11
2022-01-01,11,12,feb28,2022-11-12
2022-01-01,11,12,mar01,2022-11-12
2022-01-01,11,13,feb28,2022-11-13
