gregorian,h_year,h_month,h_day
2063-07-27,5823,5,1
2061-02-10,5821,11,20
2010-02-21,5770,12,7
1966-10-04,5727,7,20
2096-11-06,5857,8,21
2084-10-10,5845,7,11
1992-02-22,5752,12,18
2070-09-20,5831,7,15
2005-09-12,5765,6,8
1990-04-23,5750,1,28
2094-09-20,5855,7,10
1985-09-24,5746,7,9
1976-06-09,5736,3,11
1954-05-20,5714,2,17
1958-04-17,5718,1,27
1993-12-07,5754,9,23
2035-04-03,5795,13,23
2059-09-06,5819,6,28
2087-11-21,5848,8,26
1963-01-25,5723,10,29
2031-09-19,5792,7,2
2024-05-12,5784,2,4
2062-12-31,5823,9,29
2053-04-17,5813,1,29
1984-11-20,5745,8,25
2078-11-22,5839,9,17
2074-12-12,5835,9,23
2018-11-24,5779,9,16
2038-09-15,5798,6,15
2021-09-16,5782,7,10
1993-10-11,5754,7,26
1976-06-24,5736,3,26
2067-09-19,5828,7,10
2073-05-19,5833,2,12
1950-12-30,5711,10,21
2084-09-29,5844,6,29
2088-03-02,5848,12,9
1969-02-15,5729,11,27
2089-09-02,5849,6,27
2026-04-14,5786,1,27
1989-04-07,5749,1,2
1981-07-23,5741,4,21
2094-04-13,5854,1,27
2074-11-13,5835,8,23
2042-12-08,5803,9,25
2033-05-09,5793,2,10
1959-01-05,5719,10,25
2050-01-06,5810,10,12
1994-09-18,5755,7,13
1971-10-11,5732,7,22
2031-11-26,5792,9,11
1973-12-04,5734,9,9
2093-10-18,5854,7,28
2033-05-15,5793,2,16
2069-10-13,5830,7,28
2045-04-20,5805,2,3
2050-04-15,5810,1,23
2056-11-03,5817,8,24
2006-12-07,5767,9,16
2085-07-07,5845,4,14
2029-05-30,5789,3,16
2059-12-05,5820,10,1
2096-03-27,5856,1,4
2079-01-22,5839,11,20
2040-07-28,5800,5,18
2026-07-27,5786,5,13
2099-01-11,5859,10,19
2048-04-21,5808,2,8
2030-01-04,5790,10,29
1978-07-23,5738,4,18
2083-06-08,5843,3,22
2035-03-04,5795,12,23
2030-10-03,5791,7,6
1996-07-04,5756,4,17
2084-11-21,5845,8,23
1994-05-13,5754,3,3
2064-05-31,5824,3,16
1999-10-04,5760,7,24
2087-05-30,5847,2,28
2089-07-15,5849,5,8
2043-07-15,5803,4,7
2036-12-13,5797,9,24
2062-06-16,5822,3,8
1992-12-05,5753,9,10
1999-04-10,5759,1,24
2028-12-04,5789,9,16
1963-11-26,5724,9,10
2078-01-11,5838,10,26
2001-04-08,5761,1,15
1992-01-28,5752,11,23
1998-10-03,5759,7,13
2010-04-06,5770,1,22
2007-05-14,5767,2,26
2046-12-02,5807,9,3
1964-06-16,5724,4,6
1974-10-30,5735,8,14
1977-01-23,5737,11,4
1991-06-30,5751,4,18
2018-09-23,5779,7,14
2074-07-07,5834,4,12
1977-06-02,5737,3,16
2076-10-01,5837,7,4
1988-05-22,5748,3,6
1961-07-11,5721,4,27
2024-06-09,5784,3,3
2023-02-19,5783,11,28
2009-05-15,5769,2,21
2047-05-12,5807,2,16
2033-08-07,5793,5,12
2024-08-08,5784,5,4
1961-03-04,5721,12,16
1987-02-11,5747,11,12
2099-06-12,5859,3,24
2025-05-21,5785,2,23
2019-11-19,5780,8,21
2088-02-15,5848,11,23
2054-10-20,5815,7,18
2074-10-18,5835,7,27
1953-07-04,5713,4,21
2087-05-16,5847,2,14
2053-04-18,5813,1,30
2018-04-02,5778,1,17
2035-08-02,5795,4,26
1951-01-22,5711,11,15
2013-02-11,5773,12,1
2003-07-31,5763,5,2
2085-03-12,5845,12,15
2019-12-23,5780,9,25
2099-12-15,5860,10,3
2025-03-08,5785,12,8
2046-07-28,5806,4,24
2084-02-16,5844,12,10
2081-10-24,5842,7,21
2047-12-29,5808,10,12
2093-07-09,5853,4,15
2058-03-29,5818,1,4
1989-07-28,5749,4,25
2037-08-08,5797,5,27
1989-05-16,5749,2,11
1998-12-22,5759,10,3
2028-03-14,5788,12,16
2037-02-20,5797,12,5
1955-03-18,5715,12,24
2019-10-10,5780,7,11
2010-04-24,5770,2,10
2070-01-06,5830,10,23
2071-11-10,5832,8,18
2093-03-18,5853,12,20
2022-07-19,5782,4,20
2079-12-09,5840,9,16
1979-08-13,5739,5,20
2033-11-11,5794,8,19
1972-11-25,5733,9,19
2061-08-26,5821,6,10
2045-11-02,5806,8,22
1954-11-03,5715,8,7
2020-09-12,5780,6,23
2056-03-15,5816,12,27
2051-04-08,5811,1,26
2068-12-17,5829,9,23
1954-11-12,5715,8,16
1965-01-23,5725,11,20
2065-04-30,5825,1,24
2026-11-27,5787,9,17
1974-05-08,5734,2,16
2032-11-03,5793,8,29
1982-08-10,5742,5,21
1959-01-09,5719,10,29
1996-09-05,5756,6,21
2018-01-08,5778,10,21
2008-09-26,5768,6,26
1987-12-24,5748,10,3
2031-08-03,5791,5,14
2008-08-24,5768,5,23
2010-07-23,5770,5,12
2086-08-02,5846,5,22
2018-01-10,5778,10,23
1999-12-05,5760,9,26
2084-12-06,5845,9,8
2099-04-09,5859,1,19
2025-08-22,5785,5,28
1995-04-07,5755,1,7
2099-10-22,5860,8,8
1964-09-11,5725,7,5
2034-05-22,5794,3,4
1953-06-24,5713,4,11
2084-05-25,5844,2,20
2046-10-15,5807,7,15
1959-05-07,5719,1,29
2012-10-17,5773,8,1
1990-03-26,5750,12,29
2066-08-27,5826,6,6
1962-04-24,5722,1,20
2090-03-05,5850,13,3
2066-12-11,5827,9,23
1957-03-23,5717,13,20
2085-05-01,5845,2,6
1955-07-27,5715,5,8
1994-05-15,5754,3,5
1985-10-09,5746,7,24
1953-08-28,5713,6,17
2061-06-26,5821,4,8
1977-05-05,5737,2,17
1992-10-20,5753,7,23
1972-08-25,5732,6,15
2034-12-21,5795,10,9
2070-02-13,5830,12,2
1970-07-11,5730,4,7
2051-03-12,5811,12,28
1989-02-09,5749,12,4
2033-06-10,5793,3,13
2075-07-04,5835,4,21
1995-12-24,5756,10,1
2087-08-09,5847,5,11
2016-03-10,5776,12,30
1980-02-09,5740,11,22
2058-09-18,5818,6,29
2058-12-16,5819,9,30
2084-03-14,5844,13,7
2078-11-23,5839,9,18
1970-07-21,5730,4,17
2089-07-23,5849,5,16
2097-01-02,5857,10,18
1979-05-21,5739,2,24
2005-10-23,5766,7,20
2053-10-31,5814,8,19
1954-08-10,5714,5,11
2005-12-22,5766,9,21
2053-04-25,5813,2,7
2071-07-15,5831,4,18
2017-05-05,5777,2,9
2021-03-04,5781,12,20
2078-04-18,5838,2,5
1985-08-02,5745,5,15
1963-08-21,5723,6,1
2056-03-28,5816,1,11
2073-12-01,5834,9,1
2062-07-18,5822,4,10
1993-07-29,5753,5,11
1968-04-14,5728,1,16
2075-02-05,5835,11,20
2088-08-09,5848,5,22
2004-02-11,5764,11,19
2072-10-10,5833,7,28
2057-09-24,5817,6,25
2094-07-15,5854,5,2
1971-09-21,5732,7,2
2092-11-12,5853,8,12
2051-07-18,5811,5,9
2090-06-05,5850,3,7
1957-05-15,5717,2,14
2012-04-19,5772,1,27
2045-08-03,5805,5,20
2026-11-12,5787,9,2
2068-09-11,5828,6,14
2016-06-28,5776,3,22
1962-05-17,5722,2,13
2040-10-13,5801,8,6
2066-03-10,5826,12,13
2011-03-24,5771,13,18
1952-04-09,5712,1,14
2025-05-15,5785,2,17
2097-07-20,5857,5,11
2037-12-15,5798,10,7
1968-12-08,5729,9,17
2027-10-15,5788,7,14
2014-12-27,5775,10,5
2064-01-16,5824,10,27
2098-09-11,5858,6,14
2032-06-28,5792,4,19
2076-11-29,5837,9,3
1977-06-14,5737,3,28
2028-02-21,5788,11,24
1981-08-09,5741,5,9
2081-08-31,5841,5,26
2043-08-14,5803,5,8
2066-09-17,5826,6,27
1998-06-18,5758,3,24
2060-07-06,5820,4,8
2095-01-06,5855,11,1
2046-07-25,5806,4,21
2088-12-28,5849,10,15
2036-10-02,5797,7,11
2033-05-30,5793,3,2
2028-02-26,5788,11,29
2098-02-28,5858,12,26
2081-03-02,5841,12,21
2056-04-22,5816,2,6
1998-02-27,5758,12,1
2007-10-31,5768,8,19
1994-01-18,5754,11,6
2099-01-21,5859,10,29
1965-07-20,5725,4,20
2000-01-18,5760,11,11
2030-11-20,5791,8,24
1993-10-03,5754,7,18
2084-08-28,5844,5,27
2033-05-20,5793,2,21
2052-03-31,5812,1,1
2059-07-06,5819,4,25
2069-11-22,5830,9,8
2018-01-01,5778,10,14
2010-05-12,5770,2,28
1955-02-24,5715,12,2
2038-09-10,5798,6,10
2008-04-26,5768,1,21
1982-08-18,5742,5,29
2037-06-25,5797,4,12
1988-01-23,5748,11,4
2013-08-31,5773,6,25
2093-02-25,5853,11,29
1996-05-10,5756,2,21
2011-01-25,5771,11,20
2000-03-06,5760,12,29
2056-12-19,5817,10,12
2075-10-24,5836,8,15
1999-07-28,5759,5,15
2049-09-22,5809,6,25
1951-10-28,5712,7,28
2042-09-12,5802,6,27
1984-04-13,5744,1,11
1965-05-12,5725,2,10
1993-04-22,5753,2,1
2079-03-15,5839,13,12
2022-12-04,5783,9,10
2037-08-31,5797,6,20
2049-08-13,5809,5,15
2086-01-14,5846,10,28
1993-02-13,5753,11,22
2073-11-30,5834,8,30
2035-06-05,5795,2,27
2065-11-22,5826,8,23
