input,ok,day,month,year
נל6,False,,,
E657C-עכ,False,,,
cנואודש5וע B,False,,,
1086ח\ADגקחD,False,,,
צכר9,False,,,
.ב0 מרה1,False,,,
5פמאחשDשלcז,False,,,
שו\,False,,,
e,False,,,
 ו,False,,,
7ר6לa58/,False,,,
2\אל-,False,,,
bbי7אש  Cוטה,False,,,
Dעו,False,,,
524לdנ5DD1צ7,False,,,
שטe/Dנשסלd,False,,,
0a0-,False,,,
 זdB1,False,,,
8 ב59ה9,False,,,
בלפח15,False,,,
d8 0אי2 c/dב,False,,,
/bאגפ-ר3,False,,,
גועdaע1CBכנו,False,,,
6בדE44דeנגD,False,,,
D2י-,False,,,
\\a2c7אD,False,,,
בבבז.cd\,False,,,
שפ85966,False,,,
ס3רכ4ט,False,,,
0מ3יA3י ,False,,,
מוEקברבו\ס,False,,,
,False,,,
eצ,False,,,
A9ונC 24רe7A,False,,,
,False,,,
8י,False,,,
זשחצ7B bנממB,False,,,
י.אb,False,,,
B9טג-,False,,,
\ז8E,False,,,
וEרסמ4צא-Eש,False,,,
.כג-,False,,,
ט 8ל-ל4מ-dנD,False,,,
ס3,False,,,
,False,,,
,False,,,
BנגEמ8גא.,False,,,
ז8dקaeAוד,False,,,
BeדפBטחב1B,False,,,
גbCחצגפCCd,False,,,
C-,False,,,
98ש4Eא,False,,,
א,False,,,
תזמתח,False,,,
Be,False,,,
ה0ה,False,,,
חבע2ח 4A.בד,False,,,
אb,False,,,
ד-Db,False,,,
A,False,,,
5ה3\cמ6C,False,,,
2צbי8ס,False,,,
,False,,,
.bd2אח/-1bנד,False,,,
רק,False,,,
a/Dלגשז7,False,,,
.עצ.קca,False,,,
Aח,False,,,
ט1ג4d,False,,,
ל56\,False,,,
מ,False,,,
Ab5וש,False,,,
-סD6נצכז,False,,,
כ ,False,,,
42ע0.2ב8\20,False,,,
תדזDBAC,False,,,
\9.816א/,False,,,
צ,False,,,
פ5 א/ל4ad,False,,,
י\\9וe,False,,,
,False,,,
d.Dט\גCי/,False,,,
cBלקלכ61גדש,False,,,
68עCלDהו861,False,,,
י,False,,,
653,False,,,
ד-קפג\c61,False,,,
8ט4,False,,,
נ,False,,,
,False,,,
d0חבEEa,False,,,
dAdבש,False,,,
/ת,False,,,
24נ/בה,False,,,
D.,False,,,
ד,False,,,
5ה/בררר ,False,,,
שעdס0,False,,,
אדA-וbe7גו0,False,,,
ת126חדחנפAEז,False,,,
ררחeבה9AשD ,False,,,
9477חש0וeפD,False,,,
aחCסשגא3Cddר,False,,,
מפCDה37ושיי,False,,,
8cהרצ2ר9bאc,False,,,
כק\acא ס,False,,,
aח9פ4יי-2ח,False,,,
ד-Cמ/Aהג,False,,,
1.0טה2cא,False,,,
D-נ ח0,False,,,
1סשמוה07 2,False,,,
מbיעו5,False,,,
צeגוע5/\1ר,False,,,
7,False,,,
גeבDשבbח,False,,,
eעג3בט0Cעש,False,,,
a7,False,,,
b69מס54Eיר,False,,,
a8ח,False,,,
bר4ל5ddD,False,,,
גEד5e-,False,,,
aפוגכל \ני,False,,,
ר74אג,False,,,
.,False,,,
קae4בd,False,,,
חטcקc/9,False,,,
6,False,,,
נ5,False,,,
4ס,False,,,
4ע2c7,False,,,
b6כנ2אזת8,False,,,
ג,False,,,
יב3 65d\eE\,False,,,
בEcעכ.31,False,,,
ה ,False,,,
9זC.6פפ,False,,,
צעסרC1בסbb,False,,,
זC4צEט,False,,,
b,False,,,
5b37חחב,False,,,
dטר2בק.84,False,,,
6ב6עבנ7סe,False,,,
ש3מE3,False,,,
8 d2סDו3ת7כ8,False,,,
E- 01קצ3פC,False,,,
cE0מ\5זנ,False,,,
,False,,,
כ,False,,,
ז.,False,,,
וB/,False,,,
צזEדרוומלרA7,False,,,
ב0מס9EצDז,False,,,
Bbיeר,False,,,
דCטצ2ו03-,False,,,
רבש1b8ו9צ,False,,,
בAא4.,False,,,
0,False,,,
דב,False,,,
bדB8Eלמ,False,,,
קפCנ0ב9ה,False,,,
0,False,,,
03נ4עסb,False,,,
חdתנ5ע,False,,,
ט,False,,,
תeניוD,False,,,
a8 aD/dי,False,,,
036מיaפתE,False,,,
9aז96י,False,,,
זשגנ9לb0,False,,,
6dA/טתE1AכC,False,,,
5,False,,,
צא7סתכפל.\8,False,,,
א,False,,,
,False,,,
Cכ4 Dש,False,,,
.הג50ו5,False,,,
8,False,,,
8Cד/,False,,,
,False,,,
ל,False,,,
c03c7סc2שוצש,False,,,
פ\קא5bנ6ז,False,,,
B-,False,,,
ו7דק א,False,,,
\עE.מ1/Be,False,,,
ע,False,,,
שd0.שוAנc,False,,,
AB42,False,,,
,False,,,
3Eירמת0D9כ,False,,,
B7Dנ,False,,,
3,False,,,
Edב.ק88,False,,,
c,False,,,
2B-,False,,,
-ק54ה,False,,,
Dbקו,False,,,
A,False,,,
צ5,False,,,
גר.-4\מBA5נ,False,,,
פצלb8ק,False,,,
1407/קט2פפ17,False,,,
נ18שט,False,,,
cב,False,,,
זהE73ג3דAדBי,False,,,
AEב24ע75שבז,False,,,
א5ז5שע860,False,,,
8-eו,False,,,
8צנ ,False,,,
מDה2עדקמD,False,,,
ט-ב\8C3.ט31ש,False,,,
תמE.2C,False,,,
dלצוEכחdט,False,,,
,False,,,
גdלb\7C,False,,,
58תיAא,False,,,
,False,,,
038/שADשC,False,,,
8Aב מד,False,,,
6ז,False,,,
 D.\ל0מע,False,,,
ש.2C,False,,,
פce7גA,False,,,
חג0D3אB,False,,,
03a מש4,False,,,
,False,,,
ח2,False,,,
פ.aגהעמD ע3ת,False,,,
5צטהד,False,,,
2aט68פ40טd4,False,,,
4ba ,False,,,
5גנ4ג,False,,,
.כתש,False,,,
צזחמ0,False,,,
ט,False,,,
פעזDa,False,,,
dרa/bcb,False,,,
י,False,,,
Dd9ע4חכאש7סה,False,,,
6יAדבאa סמ,False,,,
aס.מ,False,,,
ק a4e-Cמ/\,False,,,
7בb5סלהEמ3,False,,,
eצרcפל2שד,False,,,
4B1,False,,,
י,False,,,
ידbרbחח,False,,,
זbסהל0אזAצ1,False,,,
eמ9י\DC,False,,,
\bארא,False,,,
3מפאaa6ב3dטב,False,,,
E.b5,False,,,
/3aב,False,,,
Eשחaחר,False,,,
תCa39,False,,,
aכ5עחDתdה,False,,,
0Ebמעה4,False,,,
7 ת5,False,,,
C41,False,,,
